adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.5080,1.5080,2020-05-12,0.0000,1.6200,1.5080,1.5700,1.0000,10268
1.5900,1.5900,2020-05-11,0.0000,1.6100,1.4650,1.5500,1.0000,74489
1.8100,1.8100,2020-05-08,0.0000,1.8100,1.7700,1.7700,1.0000,3348
1.8400,1.8400,2020-05-07,0.0000,1.8400,1.7350,1.7400,1.0000,7684
1.8000,1.8000,2020-05-06,0.0000,1.8200,1.8000,1.8200,1.0000,33900
1.8800,1.8800,2020-05-05,0.0000,1.8800,1.8500,1.8500,1.0000,2650
1.8300,1.8300,2020-05-04,0.0000,1.9500,1.8300,1.8500,1.0000,29380
1.9800,1.9800,2020-05-01,0.0000,2.0700,1.9000,1.9500,1.0000,7969
2.0700,2.0700,2020-04-30,0.0000,2.0700,1.9620,2.0700,1.0000,10206
2.1150,2.1150,2020-04-29,0.0000,2.1500,2.0850,2.1000,1.0000,19807
1.9500,1.9500,2020-04-28,0.0000,1.9500,1.7500,1.7500,1.0000,92917
1.7000,1.7000,2020-04-27,0.0000,1.7100,1.6510,1.6700,1.0000,8965
1.6500,1.6500,2020-04-24,0.0000,1.6850,1.6244,1.6700,1.0000,6134
1.6500,1.6500,2020-04-23,0.0000,1.6500,1.5600,1.5600,1.0000,21300
1.5500,1.5500,2020-04-22,0.0000,1.5600,1.5101,1.5300,1.0000,28341
1.4100,1.4100,2020-04-21,0.0000,1.5500,1.4100,1.5500,1.0000,46543
1.5050,1.5050,2020-04-20,0.0000,1.5400,1.4950,1.5100,1.0000,23859
1.5800,1.5800,2020-04-17,0.0000,1.6200,1.5300,1.5500,1.0000,46166
1.5200,1.5200,2020-04-16,0.0000,1.5500,1.4850,1.5500,1.0000,47675
1.5520,1.5520,2020-04-15,0.0000,1.5900,1.5200,1.5900,1.0000,95999
1.8450,1.8450,2020-04-14,0.0000,1.8600,1.7563,1.8600,1.0000,30750
1.9820,1.9820,2020-04-13,0.0000,2.0300,1.8800,1.9100,1.0000,20486
1.8800,1.8800,2020-04-09,0.0000,2.0200,1.8800,2.0200,1.0000,114194
1.9100,1.9100,2020-04-08,0.0000,1.9700,1.9100,1.9700,1.0000,37369
1.9460,1.9460,2020-04-07,0.0000,2.0100,1.9460,2.0000,1.0000,5425
1.8700,1.8700,2020-04-06,0.0000,1.8700,1.8200,1.8700,1.0000,14562
1.7600,1.7600,2020-04-03,0.0000,1.8300,1.7285,1.8300,1.0000,11551
1.8700,1.8700,2020-04-02,0.0000,1.8700,1.8200,1.8410,1.0000,4189
1.8207,1.8207,2020-04-01,0.0000,1.8700,1.8207,1.8700,1.0000,29889
1.9000,1.9000,2020-03-31,0.0000,1.9700,1.9000,1.9100,1.0000,6881
2.0800,2.0800,2020-03-30,0.0000,2.0800,1.9300,2.0400,1.0000,9682
2.2900,2.2900,2020-03-27,0.0000,2.2900,2.1200,2.1800,1.0000,32970
2.3800,2.3800,2020-03-26,0.0000,2.3800,2.0900,2.2300,1.0000,446480
2.1100,2.1100,2020-03-25,0.0000,2.1315,2.0100,2.0600,1.0000,74528
2.0300,2.0300,2020-03-24,0.0000,2.0400,1.8600,1.8700,1.0000,10433
1.8600,1.8600,2020-03-23,0.0000,1.8600,1.7450,1.7700,1.0000,45628
1.9600,1.9600,2020-03-20,0.0000,1.9990,1.9100,1.9700,1.0000,10786
1.8500,1.8500,2020-03-19,0.0000,1.9999,1.7400,1.8500,1.0000,144381
2.1000,2.1000,2020-03-18,0.0000,2.1200,1.9600,2.1200,1.0000,2662
2.1000,2.1000,2020-03-17,0.0000,2.3700,2.0500,2.1500,1.0000,16662
2.2500,2.2500,2020-03-16,0.0000,2.3500,2.1900,2.1900,1.0000,4847
2.5350,2.5350,2020-03-13,0.0000,2.7500,2.4000,2.7500,1.0000,26112
2.3500,2.3500,2020-03-12,0.0000,2.8500,2.3500,2.8500,1.0000,33022
3.0400,3.0400,2020-03-11,0.0000,3.1900,3.0400,3.1900,1.0000,3533
3.1540,3.1540,2020-03-10,0.0000,3.2150,3.0502,3.1500,1.0000,11332
3.0150,3.0150,2020-03-09,0.0000,3.1700,3.0150,3.0600,1.0000,8500
3.4000,3.4000,2020-03-06,0.0000,3.4750,3.4000,3.4250,1.0000,8712
3.5500,3.5500,2020-03-05,0.0000,3.5800,3.5156,3.5800,1.0000,25635
3.6700,3.6700,2020-03-04,0.0000,3.6700,3.6300,3.6300,1.0000,22484
3.7300,3.7300,2020-03-03,0.0000,3.7300,3.4300,3.6850,1.0000,10233
3.6300,3.6300,2020-03-02,0.0000,3.8000,3.6300,3.8000,1.0000,14457
3.6600,3.6600,2020-02-28,0.0000,3.7495,3.6600,3.7050,1.0000,3900
3.7528,3.7528,2020-02-27,0.0000,3.7900,3.6800,3.7000,1.0000,9015
3.9400,3.9400,2020-02-26,0.0000,3.9400,3.8800,3.9100,1.0000,12333
3.9450,3.9450,2020-02-25,0.0000,3.9900,3.9450,3.9800,1.0000,5070
4.1600,4.1600,2020-02-24,0.0000,4.2100,4.1300,4.2000,1.0000,13058
4.4200,4.4200,2020-02-21,0.0000,4.4400,4.2650,4.2700,1.0000,5277
4.2900,4.2900,2020-02-19,0.0000,4.2900,4.2900,4.2900,1.0000,4923
4.3000,4.3000,2020-02-18,0.0000,4.3100,4.3000,4.3100,1.0000,7201
4.5300,4.5300,2020-02-14,0.0000,4.5700,4.5150,4.5150,1.0000,493
4.4450,4.4450,2020-02-13,0.0000,4.4500,4.4400,4.4500,1.0000,976
4.5700,4.5700,2020-02-12,0.0000,4.5700,4.4600,4.4600,1.0000,3042
4.3500,4.3500,2020-02-11,0.0000,4.3500,4.1900,4.2500,1.0000,15190
4.4100,4.4100,2020-02-10,0.0000,4.4600,4.3750,4.4200,1.0000,27005
4.8000,4.8000,2020-02-07,0.0000,4.8440,4.7350,4.7400,1.0000,10400
4.8400,4.8400,2020-02-06,0.0000,5.0000,4.8400,4.9700,1.0000,1000
5.0750,5.0750,2020-02-05,0.0000,5.1100,5.0000,5.1100,1.0000,6884
5.1500,5.1500,2020-02-04,0.0000,5.1500,5.0900,5.0900,1.0000,800
5.0750,5.0750,2020-01-31,0.0000,5.0750,5.0750,5.0750,1.0000,8
5.0750,5.0750,2020-01-30,0.0000,5.0750,5.0750,5.0750,1.0000,1022
5.1600,5.1600,2020-01-29,0.0000,5.1600,5.1000,5.1600,1.0000,1205
5.0600,5.0600,2020-01-28,0.0000,5.0600,5.0000,5.0000,1.0000,228
4.8400,4.8400,2020-01-27,0.0000,4.9250,4.8300,4.9250,1.0000,25621
4.9000,4.9000,2020-01-24,0.0000,5.1800,4.9000,5.1800,1.0000,1458
5.1700,5.1700,2020-01-23,0.0000,5.1800,5.0400,5.1000,1.0000,1446
5.1100,5.1100,2020-01-22,0.0000,5.1100,5.0500,5.0500,1.0000,1606
5.1100,5.1100,2020-01-21,0.0000,5.1600,5.0400,5.0400,1.0000,5599
5.2300,5.2300,2020-01-17,0.0000,5.3700,5.1700,5.1800,1.0000,6208
5.1350,5.1350,2020-01-16,0.0000,5.2100,5.1350,5.2100,1.0000,3200
5.1750,5.1750,2020-01-15,0.0000,5.2400,5.1750,5.1800,1.0000,5890
5.2050,5.2050,2020-01-14,0.0000,5.2800,5.2050,5.2800,1.0000,6704
5.3400,5.3400,2020-01-13,0.0000,5.3400,5.3400,5.3400,1.0000,1000
5.4000,5.4000,2020-01-10,0.0000,5.5000,5.4000,5.5000,1.0000,317
5.5800,5.5800,2020-01-09,0.0000,5.5800,5.5800,5.5800,1.0000,600
5.4000,5.4000,2020-01-08,0.0000,5.5000,5.3800,5.4400,1.0000,3500
5.5600,5.5600,2020-01-07,0.0000,5.5600,5.5600,5.5600,1.0000,1333
5.5600,5.5600,2020-01-06,0.0000,5.5600,5.5600,5.5600,1.0000,100
5.7350,5.7350,2020-01-03,0.0000,5.7350,5.7350,5.7350,1.0000,700
5.5550,5.5550,2020-01-02,0.0000,5.5550,5.5550,5.5550,1.0000,426
5.4000,5.4000,2019-12-31,0.0000,5.4550,5.4000,5.4550,1.0000,2499
5.4000,5.4000,2019-12-30,0.0000,5.4400,5.4000,5.4350,1.0000,9990
5.4400,5.4400,2019-12-27,0.0000,5.4400,5.4400,5.4400,1.0000,300
5.4650,5.4650,2019-12-26,0.0000,5.4650,5.4650,5.4650,1.0000,691
5.3500,5.3500,2019-12-23,0.0000,5.3500,5.3500,5.3500,1.0000,94
5.3500,5.3500,2019-12-20,0.0000,5.3500,5.3500,5.3500,1.0000,358
5.4250,5.4250,2019-12-19,0.0000,5.4250,5.3400,5.4093,1.0000,18045
5.3500,5.3500,2019-12-18,0.0000,5.3500,5.3500,5.3500,1.0000,5718
5.7500,5.7500,2019-12-16,0.0000,5.7500,5.6150,5.6850,1.0000,3000
5.7500,5.7500,2019-12-13,0.0000,5.8900,5.7500,5.8900,1.0000,404
5.4500,5.4500,2019-12-12,0.0000,5.5750,5.4500,5.4700,1.0000,22269
5.4200,5.4200,2019-12-11,0.0000,5.4200,5.3400,5.3400,1.0000,3285
5.3600,5.3600,2019-12-09,0.0000,5.3800,5.3600,5.3675,1.0000,546
5.3330,5.3330,2019-12-06,0.0000,5.3330,5.3100,5.3100,1.0000,388
5.3100,5.3100,2019-12-05,0.0000,5.3100,5.3100,5.3100,1.0000,1533
4.9500,4.9500,2019-12-03,0.0000,5.0300,4.9500,4.9700,1.0000,5366
5.1640,5.1640,2019-12-02,0.0000,5.1640,5.0000,5.0000,1.0000,3825
5.0500,5.0500,2019-11-29,0.0000,5.0500,5.0500,5.0500,1.0000,1
5.0500,5.0500,2019-11-27,0.0000,5.2500,5.0500,5.2500,1.0000,5634
4.9000,4.9000,2019-11-26,0.0000,4.9200,4.9000,4.9200,1.0000,217
4.7500,4.7500,2019-11-25,0.0000,4.8750,4.7500,4.7900,1.0000,1859
4.7000,4.7000,2019-11-22,0.0000,4.7000,4.7000,4.7000,1.0000,40
4.7000,4.7000,2019-11-21,0.0000,4.7000,4.6400,4.6400,1.0000,691
4.8250,4.8250,2019-11-20,0.0000,4.8250,4.8250,4.8250,1.0000,7310
4.8250,4.8250,2019-11-19,0.0000,4.8250,4.8250,4.8250,1.0000,1816
4.7100,4.7100,2019-11-18,0.0000,4.8200,4.7100,4.7650,1.0000,1900
4.8550,4.8550,2019-11-15,0.0000,4.8550,4.8550,4.8550,1.0000,1042
4.7100,4.7100,2019-11-13,0.0000,4.7400,4.7100,4.7400,1.0000,848
4.8600,4.8600,2019-11-12,0.0000,4.8600,4.8600,4.8600,1.0000,333
4.8900,4.8900,2019-11-11,0.0000,5.0000,4.8900,4.9000,1.0000,810
5.0000,5.0000,2019-11-08,0.0000,5.0000,5.0000,5.0000,1.0000,73
5.0000,5.0000,2019-11-07,0.0000,5.0750,4.9640,4.9640,1.0000,413
5.0500,5.0500,2019-11-06,0.0000,5.0500,5.0500,5.0500,1.0000,2863
5.0500,5.0500,2019-11-05,0.0000,5.0500,5.0200,5.0200,1.0000,3225
4.9500,4.9500,2019-11-04,0.0000,4.9500,4.9400,4.9400,1.0000,2092
4.8500,4.8500,2019-10-31,0.0000,4.8500,4.8500,4.8500,1.0000,8517
4.7450,4.7450,2019-10-30,0.0000,4.7700,4.7450,4.7700,1.0000,1135
4.6600,4.6600,2019-10-28,0.0000,4.6600,4.6600,4.6600,1.0000,100
4.6900,4.6900,2019-10-25,0.0000,4.6900,4.6900,4.6900,1.0000,5
4.6900,4.6900,2019-10-24,0.0000,4.7800,4.6900,4.7800,1.0000,200
4.8000,4.8000,2019-10-23,0.0000,4.8000,4.8000,4.8000,1.0000,150
4.8400,4.8400,2019-10-22,0.0000,4.8400,4.8300,4.8300,1.0000,267
4.8400,4.8400,2019-10-18,0.0000,4.9400,4.8400,4.8850,1.0000,5493
4.9240,4.9240,2019-10-17,0.0000,5.1020,4.7800,5.1020,1.0000,24756
5.0400,5.0400,2019-10-16,0.0000,5.0400,4.9800,4.9800,1.0000,2075
4.8850,4.8850,2019-10-15,0.0000,4.9400,4.6000,4.6000,1.0000,19700
4.5520,4.5520,2019-10-14,0.0000,4.5520,4.5520,4.5520,1.0000,170
4.6000,4.6000,2019-10-11,0.0000,4.7000,4.6000,4.6000,1.0000,5566
4.1000,4.1000,2019-10-10,0.0000,4.2050,4.1000,4.2050,1.0000,1186
4.0700,4.0700,2019-10-09,0.0000,4.0700,3.9300,3.9300,1.0000,951
4.1700,4.1700,2019-10-08,0.0000,4.1700,4.1700,4.1700,1.0000,61
4.1700,4.1700,2019-10-07,0.0000,4.1700,4.1700,4.1700,1.0000,185
3.9000,3.9000,2019-10-04,0.0000,3.9000,3.9000,3.9000,1.0000,3066
3.9274,3.9274,2019-10-02,0.0000,4.0640,3.9274,4.0640,1.0000,47115
3.9500,3.9500,2019-10-01,0.0000,3.9500,3.9500,3.9500,1.0000,500
3.8500,3.8500,2019-09-30,0.0000,3.8500,3.8500,3.8500,1.0000,13
3.8500,3.8500,2019-09-27,0.0000,3.8500,3.8500,3.8500,1.0000,121
3.8000,3.8000,2019-09-26,0.0000,3.8000,3.8000,3.8000,1.0000,100
3.8050,3.8050,2019-09-25,0.0000,3.8050,3.8050,3.8050,1.0000,166
3.8500,3.8500,2019-09-23,0.0000,3.8800,3.8240,3.8400,1.0000,27036
4.0100,4.0100,2019-09-20,0.0000,4.0100,4.0100,4.0100,1.0000,4
4.0100,4.0100,2019-09-19,0.0000,4.0200,4.0100,4.0200,1.0000,3733
3.9300,3.9300,2019-09-18,0.0000,3.9300,3.9300,3.9300,1.0000,817
3.9650,3.9650,2019-09-17,0.0000,4.0900,3.9650,4.0900,1.0000,1175
4.2625,4.2625,2019-09-16,0.0000,4.3250,4.2625,4.3250,1.0000,4534
4.4200,4.4200,2019-09-13,0.0000,4.4200,4.4200,4.4200,1.0000,266
4.2700,4.2700,2019-09-12,0.0000,4.2700,4.2700,4.2700,1.0000,2500
4.5600,4.5600,2019-09-11,0.0000,4.5600,4.5400,4.5400,1.0000,10200
4.4400,4.4400,2019-09-10,0.0000,4.4400,4.4100,4.4100,1.0000,1225
4.3100,4.3100,2019-09-09,0.0000,4.3100,4.3100,4.3100,1.0000,11
4.3100,4.3100,2019-09-06,0.0000,4.3100,4.2475,4.2475,1.0000,2667
4.3500,4.3500,2019-09-05,0.0000,4.3500,4.1900,4.1900,1.0000,3282
3.9125,3.9125,2019-09-04,0.0000,3.9125,3.9125,3.9125,1.0000,80
3.9125,3.9125,2019-08-30,0.0000,3.9125,3.8700,3.8700,1.0000,267
3.8700,3.8700,2019-08-29,0.0000,3.9150,3.8700,3.9150,1.0000,6420
3.8000,3.8000,2019-08-28,0.0000,3.8000,3.8000,3.8000,1.0000,133
3.8350,3.8350,2019-08-27,0.0000,3.8350,3.8350,3.8350,1.0000,590
3.8950,3.8950,2019-08-26,0.0000,3.8950,3.8250,3.8600,1.0000,7433
3.9000,3.9000,2019-08-23,0.0000,4.0303,3.8300,3.9000,1.0000,17647
3.9500,3.9500,2019-08-22,0.0000,3.9600,3.7850,3.7850,1.0000,6003
3.7000,3.7000,2019-08-21,0.0000,3.7200,3.6550,3.6550,1.0000,11709
3.6200,3.6200,2019-08-20,0.0000,3.7200,3.5200,3.6200,1.0000,7831
3.7100,3.7100,2019-08-19,0.0000,3.7100,3.6450,3.6700,1.0000,20110
3.6650,3.6650,2019-08-16,0.0000,3.6800,3.6250,3.6250,1.0000,6770
3.5500,3.5500,2019-08-15,0.0000,3.5500,3.5000,3.5000,1.0000,4016
3.5800,3.5800,2019-08-14,0.0000,3.6100,3.4700,3.6100,1.0000,9200
3.6900,3.6900,2019-08-13,0.0000,3.7200,3.5800,3.6125,1.0000,5692
3.6700,3.6700,2019-08-12,0.0000,3.6700,3.5550,3.6510,1.0000,7053
3.8500,3.8500,2019-08-09,0.0000,3.8500,3.7810,3.7900,1.0000,15752
3.8800,3.8800,2019-08-08,0.0000,3.9900,3.8800,3.9100,1.0000,7984
3.9100,3.9100,2019-08-07,0.0000,3.9600,3.9100,3.9600,1.0000,935
4.1000,4.1000,2019-08-06,0.0000,4.1400,4.0000,4.1400,1.0000,18423
4.2500,4.2500,2019-08-05,0.0000,4.2650,4.2500,4.2650,1.0000,58335
4.2200,4.2200,2019-08-02,0.0000,4.2700,4.2200,4.2700,1.0000,18130
4.4000,4.4000,2019-08-01,0.0000,4.4000,4.2100,4.2650,1.0000,11529
4.4850,4.4850,2019-07-31,0.0000,4.5000,4.4850,4.5000,1.0000,3103
4.6700,4.6700,2019-07-30,0.0000,4.6700,4.5350,4.5850,1.0000,4086
4.7500,4.7500,2019-07-29,0.0000,4.7500,4.6000,4.7200,1.0000,6123
4.8650,4.8650,2019-07-26,0.0000,4.9232,4.7800,4.8700,1.0000,18028
5.0500,5.0500,2019-07-25,0.0000,5.0500,4.9700,5.0000,1.0000,11120
4.8700,4.8700,2019-07-24,0.0000,4.8700,4.8600,4.8600,1.0000,2100
4.8900,4.8900,2019-07-23,0.0000,4.8900,4.8450,4.8900,1.0000,400
4.9100,4.9100,2019-07-22,0.0000,5.0000,4.9100,5.0000,1.0000,1000
5.0600,5.0600,2019-07-19,0.0000,5.0600,4.9500,5.0000,1.0000,4685
5.0420,5.0420,2019-07-18,0.0000,5.0500,5.0000,5.0500,1.0000,1099
5.0650,5.0650,2019-07-17,0.0000,5.0650,5.0650,5.0650,1.0000,338
5.1400,5.1400,2019-07-16,0.0000,5.1400,5.1400,5.1400,1.0000,5333
5.1100,5.1100,2019-07-15,0.0000,5.1100,5.1100,5.1100,1.0000,1766
5.2319,5.2319,2019-07-12,0.0000,5.2319,5.2319,5.2319,1.0000,261977
5.1700,5.1700,2019-07-11,0.0000,5.3596,5.1700,5.3596,1.0000,61386
5.2000,5.2000,2019-07-10,0.0000,5.2000,5.2000,5.2000,1.0000,4540
5.2700,5.2700,2019-07-09,0.0000,5.2700,5.1000,5.1740,1.0000,1858
5.3200,5.3200,2019-07-08,0.0000,5.3200,5.1500,5.1500,1.0000,3830
5.1000,5.1000,2019-07-05,0.0000,5.1000,5.1000,5.1000,1.0000,60
5.1000,5.1000,2019-07-02,0.0000,5.1000,5.1000,5.1000,1.0000,167
5.0900,5.0900,2019-07-01,0.0000,5.0900,5.0900,5.0900,1.0000,100
5.1200,5.1200,2019-06-28,0.0000,5.1200,5.1200,5.1200,1.0000,2579
5.1685,5.1685,2019-06-26,0.0000,5.1800,5.0600,5.0600,1.0000,1174
5.2300,5.2300,2019-06-25,0.0000,5.2300,5.2300,5.2300,1.0000,320
5.0800,5.0800,2019-06-24,0.0000,5.0800,5.0800,5.0800,1.0000,176
5.1500,5.1500,2019-06-21,0.0000,5.1675,5.1500,5.1500,1.0000,11710
